<s> House Republicans UNK About Winning Their Health Care Suit </s>,<s> WASHINGTON — Congressional Republicans have a new fear when it comes to their health care lawsuit against the Obama administration : They might win . </s>
<s> Rift Between Officers and Residents as Killings UNK in South Bronx </s>,"<s> After the bullet UNK get counted , the blood UNK and the UNK UNK burn out , people UNK down from windows and see crime scenes gone cold : a band of yellow police tape blowing in the breeze . </s>"
"<s> UNK UNK , UNK Artist UNK by Racial Bias , Dies at UNK </s>","<s> When Walt UNK UNK opened in UNK , critics praised its spare , UNK UNK style , vastly different from anything Disney had done before . </s>"
"<s> Among Deaths in 2016 , a Heavy Toll in Pop Music </s>","<s> Death may be the great UNK , but it isn’t UNK UNK . </s>"
<s> Kim Jong-un Says North Korea Is UNK to Test UNK Missile </s>,"<s> SEOUL , South Korea — North Korea’s leader , Kim said on Sunday that his country was making final preparations to conduct its first test of an intercontinental ballistic missile — a bold statement less than a month before the inauguration of Donald J. Trump . </s>"
"<s> Sick With a Cold , Queen Elizabeth Misses New Year’s Service </s>","<s> LONDON — Queen Elizabeth II , who has been battling a cold for more than a week , missed a New Year’s Day church service at her country estate in UNK , UNK Palace said on Sunday . </s>"
<s> Taiwan’s President Accuses China of UNK UNK </s>,"<s> BEIJING — President UNK of Taiwan sharply criticized China’s leaders on Saturday , saying they had UNK to military and economic threats in order to UNK the island . </s>"
"<s> After ‘The Biggest UNK , ’ Their Bodies UNK to UNK Weight </s>","<s> UNK UNK stood , slightly UNK , in a UNK of UNK as the audience screamed and his family ran on stage . </s>"
"<s> First , a UNK . Then a UNK . </s>","<s> Just how is Hillary Kerr , the founder of a digital media company in Los Angeles ? She can tell you what song was playing five years ago on the UNK at the bar where she somewhat UNK met the man who became her husband . </s>"
<s> Calling on UNK While UNK the UNK of Job </s>,"<s> UNK are everywhere in the UNK family’s apartment in the Bronx : paintings of UNK on the wall , UNK UNK UNK the ancient UNK , UNK UNK UNK or blowing little golden UNK on the bathroom shelves . </s>"
<s> UNK Federal UNK Could Limit Trump’s UNK UNK </s>,"<s> With Donald J. Trump about to take control of the White House , it would seem a dark time for the renewable energy industry . </s>"
<s> Can Carbon UNK Technology UNK Under Trump ? </s>,"<s> UNK , Tex . — Can one of the most promising — and troubled — UNK for fighting global warming UNK during the administration of Donald J. Trump ? </s>"
<s> How to form healthy UNK in your UNK </s>,"<s> This article is part of a series aimed at helping you navigate life’s opportunities and challenges . What else should we write about ? Contact us : smarterliving @ nytimes . com . When you woke up this morning , what did you do first ? </s>"
<s> Turning Your Vacation Photos Into Works of Art </s>,"<s> It’s the season for family travel and photos — and perhaps UNK some of those images of UNK UNK or UNK UNK to UNK your home . There are , of course , the usual print services and methods . </s>"
"<s> As Second Avenue Subway Opens , a Train Delay Ends in ( Happy ) Tears </s>","<s> Finally . The Second Avenue subway opened in New York City on Sunday , with thousands of riders flooding into its UNK stations to witness a piece of history nearly a century in the making . </s>"
<s> Dylann Roof Himself Rejects Best Defense Against UNK </s>,"<s> pages into the journal found in Dylann S. Roof’s car — after the UNK of black UNK , the UNK over white UNK , the UNK for a race war — comes an UNK declaration . </s>"
"<s> UNK Cash Ban Brings Pain , but UNK India UNK Its UNK </s>","<s> UNK , India — It was a bold and UNK UNK by Prime Minister Narendra Modi of India that quickly seemed to UNK . </s>"
<s> Suicide Bombing in Baghdad Kills at Least 36 </s>,"<s> BAGHDAD — A suicide bomber detonated a pickup truck loaded with explosives on Monday in a busy Baghdad market , killing at least 36 people hours after President François Hollande of France arrived in the Iraqi capital . The Islamic State later claimed responsibility for the attack . </s>"
